#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.151799E+00   0.155928E+07   0.155151E+07  -0.165880E+01  -0.165881E+01   0.663308E+05   0.155180E+07   0.155806E+07   0.155180E+07  -0.370280E-01   0.819330E+06   0.819280E+06   0.108932E+00
   0.154548E+00   0.151426E+07   0.150627E+07  -0.155408E+01  -0.155409E+01   0.626752E+05   0.150692E+07   0.151301E+07   0.150692E+07  -0.359572E-01   0.795637E+06   0.795585E+06   0.112547E+00
   0.157297E+00   0.147161E+07   0.146345E+07  -0.145795E+01  -0.145795E+01   0.592870E+05   0.146440E+07   0.147032E+07   0.146440E+07  -0.349426E-01   0.773190E+06   0.773136E+06   0.114434E+00
   0.160046E+00   0.143177E+07   0.142355E+07  -0.137016E+01  -0.137016E+01   0.561669E+05   0.142471E+07   0.143048E+07   0.142471E+07  -0.339955E-01   0.752236E+06   0.752181E+06   0.114393E+00
   0.162795E+00   0.139511E+07   0.138690E+07  -0.129036E+01  -0.129036E+01   0.533112E+05   0.138819E+07   0.139382E+07   0.138819E+07  -0.331241E-01   0.732956E+06   0.732901E+06   0.112397E+00
   0.165545E+00   0.136178E+07   0.135369E+07  -0.121805E+01  -0.121806E+01   0.507085E+05   0.135501E+07   0.136051E+07   0.135501E+07  -0.323324E-01   0.715438E+06   0.715384E+06   0.108572E+00
   0.168294E+00   0.133174E+07   0.132386E+07  -0.115260E+01  -0.115261E+01   0.483405E+05   0.132512E+07   0.133050E+07   0.132512E+07  -0.316191E-01   0.699655E+06   0.699603E+06   0.103170E+00
   0.171043E+00   0.130473E+07   0.129714E+07  -0.109325E+01  -0.109325E+01   0.461829E+05   0.129826E+07   0.130353E+07   0.129826E+07  -0.309782E-01   0.685475E+06   0.685426E+06   0.965393E-01
   0.173792E+00   0.128035E+07   0.127311E+07  -0.103919E+01  -0.103919E+01   0.442084E+05   0.127403E+07   0.127921E+07   0.127403E+07  -0.304001E-01   0.672685E+06   0.672638E+06   0.890826E-01
   0.176541E+00   0.125811E+07   0.125125E+07  -0.989624E+00  -0.989627E+00   0.423888E+05   0.125194E+07   0.125703E+07   0.125194E+07  -0.298729E-01   0.661020E+06   0.660976E+06   0.812260E-01
   0.179291E+00   0.123750E+07   0.123105E+07  -0.943830E+00  -0.943833E+00   0.406977E+05   0.123147E+07   0.123649E+07   0.123147E+07  -0.293845E-01   0.650213E+06   0.650173E+06   0.733833E-01
   0.182040E+00   0.121803E+07   0.121199E+07  -0.901177E+00  -0.901180E+00   0.391117E+05   0.121214E+07   0.121708E+07   0.121214E+07  -0.289233E-01   0.640008E+06   0.639972E+06   0.659284E-01
   0.184789E+00   0.119927E+07   0.119361E+07  -0.861131E+00  -0.861134E+00   0.376112E+05   0.119351E+07   0.119838E+07   0.119351E+07  -0.284788E-01   0.630174E+06   0.630141E+06   0.591739E-01
   0.187538E+00   0.118083E+07   0.117551E+07  -0.823245E+00  -0.823247E+00   0.361793E+05   0.117519E+07   0.117999E+07   0.117519E+07  -0.280417E-01   0.620502E+06   0.620472E+06   0.533562E-01
   0.190287E+00   0.116235E+07   0.115733E+07  -0.787147E+00  -0.787150E+00   0.348020E+05   0.115684E+07   0.116157E+07   0.115684E+07  -0.276037E-01   0.610810E+06   0.610783E+06   0.486275E-01
   0.193036E+00   0.114357E+07   0.113878E+07  -0.752546E+00  -0.752548E+00   0.334682E+05   0.113816E+07   0.114282E+07   0.113816E+07  -0.271580E-01   0.600950E+06   0.600924E+06   0.450549E-01
   0.195786E+00   0.112426E+07   0.111964E+07  -0.719225E+00  -0.719227E+00   0.321704E+05   0.111895E+07   0.112353E+07   0.111895E+07  -0.266998E-01   0.590810E+06   0.590785E+06   0.426243E-01
   0.198535E+00   0.110432E+07   0.109981E+07  -0.687050E+00  -0.687052E+00   0.309038E+05   0.109911E+07   0.110361E+07   0.109911E+07  -0.262263E-01   0.580334E+06   0.580309E+06   0.412506E-01
   0.201284E+00   0.108375E+07   0.107929E+07  -0.655963E+00  -0.655965E+00   0.296673E+05   0.107863E+07   0.108305E+07   0.107863E+07  -0.257375E-01   0.569519E+06   0.569494E+06   0.407903E-01
   0.204033E+00   0.106264E+07   0.105818E+07  -0.625972E+00  -0.625973E+00   0.284625E+05   0.105760E+07   0.106194E+07   0.105760E+07  -0.252359E-01   0.558420E+06   0.558394E+06   0.410580E-01
   0.206782E+00   0.104118E+07   0.103668E+07  -0.597125E+00  -0.597127E+00   0.272929E+05   0.103622E+07   0.104047E+07   0.103622E+07  -0.247256E-01   0.547130E+06   0.547104E+06   0.418438E-01
   0.209532E+00   0.101959E+07   0.101503E+07  -0.569495E+00  -0.569497E+00   0.261631E+05   0.101471E+07   0.101888E+07   0.101471E+07  -0.242123E-01   0.535773E+06   0.535746E+06   0.429299E-01
   0.212281E+00   0.998129E+06   0.993483E+06  -0.543152E+00  -0.543154E+00   0.250776E+05   0.993319E+06   0.997399E+06   0.993319E+06  -0.237019E-01   0.524479E+06   0.524451E+06   0.441069E-01
   0.215030E+00   0.977036E+06   0.972309E+06  -0.518158E+00  -0.518160E+00   0.240405E+05   0.972297E+06   0.976293E+06   0.972297E+06  -0.232003E-01   0.513380E+06   0.513351E+06   0.451864E-01
   0.217779E+00   0.956543E+06   0.951746E+06  -0.494556E+00  -0.494557E+00   0.230552E+05   0.951875E+06   0.955790E+06   0.951875E+06  -0.227130E-01   0.502598E+06   0.502568E+06   0.460114E-01
   0.226489E+00   0.897676E+06   0.892821E+06  -0.429099E+00  -0.429100E+00   0.202948E+05   0.893235E+06   0.896913E+06   0.893235E+06  -0.213138E-01   0.471638E+06   0.471607E+06   0.458574E-01
   0.235548E+00   0.848569E+06   0.843992E+06  -0.375036E+00  -0.375037E+00   0.179888E+05   0.844367E+06   0.847850E+06   0.844367E+06  -0.201477E-01   0.445836E+06   0.445807E+06   0.409593E-01
   0.244968E+00   0.808348E+06   0.804299E+06  -0.330335E+00  -0.330336E+00   0.160623E+05   0.804390E+06   0.807712E+06   0.804390E+06  -0.191938E-01   0.424729E+06   0.424704E+06   0.333512E-01
   0.254766E+00   0.771407E+06   0.767874E+06  -0.291482E+00  -0.291483E+00   0.143620E+05   0.767677E+06   0.770852E+06   0.767677E+06  -0.183178E-01   0.405345E+06   0.405324E+06   0.267381E-01
   0.264955E+00   0.732285E+06   0.729031E+06  -0.255837E+00  -0.255838E+00   0.127685E+05   0.728756E+06   0.731774E+06   0.728756E+06  -0.173891E-01   0.384795E+06   0.384776E+06   0.235718E-01
   0.275552E+00   0.689622E+06   0.686397E+06  -0.222755E+00  -0.222756E+00   0.112565E+05   0.686270E+06   0.689115E+06   0.686270E+06  -0.163753E-01   0.362363E+06   0.362344E+06   0.233414E-01
   0.286572E+00   0.647050E+06   0.643797E+06  -0.193232E+00  -0.193233E+00   0.988288E+04   0.643867E+06   0.646539E+06   0.643867E+06  -0.153635E-01   0.339974E+06   0.339954E+06   0.234351E-01
   0.298034E+00   0.609290E+06   0.606156E+06  -0.168230E+00  -0.168231E+00   0.870508E+04   0.606279E+06   0.608797E+06   0.606279E+06  -0.144666E-01   0.320128E+06   0.320108E+06   0.217581E-01
   0.309954E+00   0.577356E+06   0.574503E+06  -0.147394E+00  -0.147395E+00   0.771355E+04   0.574519E+06   0.576908E+06   0.574519E+06  -0.137088E-01   0.303359E+06   0.303341E+06   0.185554E-01
   0.322350E+00   0.548012E+06   0.545441E+06  -0.129356E+00  -0.129356E+00   0.684391E+04   0.545339E+06   0.547608E+06   0.545339E+06  -0.130125E-01   0.287951E+06   0.287936E+06   0.156815E-01
   0.335242E+00   0.517735E+06   0.515310E+06  -0.112992E+00  -0.112993E+00   0.604159E+04   0.515208E+06   0.517354E+06   0.515208E+06  -0.122936E-01   0.272042E+06   0.272028E+06   0.143125E-01
   0.348650E+00   0.486707E+06   0.484333E+06  -0.982068E-01  -0.982070E-01   0.530482E+04   0.484315E+06   0.486334E+06   0.484315E+06  -0.115564E-01   0.255730E+06   0.255716E+06   0.137891E-01
   0.362595E+00   0.457961E+06   0.455679E+06  -0.854357E-01  -0.854360E-01   0.466063E+04   0.455701E+06   0.457602E+06   0.455701E+06  -0.108736E-01   0.240622E+06   0.240608E+06   0.128245E-01
   0.377096E+00   0.432640E+06   0.430530E+06  -0.746254E-01  -0.746256E-01   0.410979E+04   0.430511E+06   0.432308E+06   0.430511E+06  -0.102726E-01   0.227321E+06   0.227309E+06   0.112392E-01
   0.392178E+00   0.408965E+06   0.407018E+06  -0.652223E-01  -0.652225E-01   0.362502E+04   0.406959E+06   0.408659E+06   0.406959E+06  -0.971060E-02   0.214886E+06   0.214874E+06   0.986843E-02
   0.407863E+00   0.385257E+06   0.383404E+06  -0.568067E-01  -0.568069E-01   0.318531E+04   0.383363E+06   0.384965E+06   0.383363E+06  -0.914756E-02   0.202426E+06   0.202415E+06   0.910311E-02
   0.424176E+00   0.362335E+06   0.360560E+06  -0.493966E-01  -0.493967E-01   0.279347E+04   0.360548E+06   0.362056E+06   0.360548E+06  -0.860317E-02   0.190380E+06   0.190369E+06   0.845451E-02
   0.441141E+00   0.341485E+06   0.339822E+06  -0.430429E-01  -0.430430E-01   0.245419E+04   0.339802E+06   0.341224E+06   0.339802E+06  -0.810813E-02   0.179425E+06   0.179415E+06   0.757432E-02
   0.458784E+00   0.322055E+06   0.320506E+06  -0.375323E-01  -0.375324E-01   0.215693E+04   0.320470E+06   0.321812E+06   0.320470E+06  -0.764685E-02   0.169218E+06   0.169209E+06   0.674481E-02
   0.477133E+00   0.303149E+06   0.301683E+06  -0.326641E-01  -0.326642E-01   0.189145E+04   0.301655E+06   0.302918E+06   0.301655E+06  -0.719789E-02   0.159283E+06   0.159274E+06   0.616389E-02
   0.496216E+00   0.285193E+06   0.283805E+06  -0.284114E-01  -0.284115E-01   0.165723E+04   0.283786E+06   0.284975E+06   0.283786E+06  -0.677151E-02   0.149848E+06   0.149839E+06   0.562504E-02
   0.516062E+00   0.268559E+06   0.267260E+06  -0.247364E-01  -0.247365E-01   0.145300E+04   0.267235E+06   0.268355E+06   0.267235E+06  -0.637658E-02   0.141108E+06   0.141101E+06   0.504621E-02
   0.536702E+00   0.252772E+06   0.251551E+06  -0.215262E-01  -0.215263E-01   0.127297E+04   0.251526E+06   0.252580E+06   0.251526E+06  -0.600174E-02   0.132814E+06   0.132806E+06   0.455897E-02
   0.558167E+00   0.237713E+06   0.236561E+06  -0.187168E-01  -0.187168E-01   0.111399E+04   0.236540E+06   0.237532E+06   0.236540E+06  -0.564416E-02   0.124901E+06   0.124894E+06   0.414641E-02
   0.580491E+00   0.223616E+06   0.222534E+06  -0.162788E-01  -0.162788E-01   0.974889E+03   0.222512E+06   0.223446E+06   0.222512E+06  -0.530944E-02   0.117494E+06   0.117487E+06   0.373946E-02
   0.603707E+00   0.210312E+06   0.209295E+06  -0.141554E-01  -0.141555E-01   0.852766E+03   0.209274E+06   0.210152E+06   0.209274E+06  -0.499356E-02   0.110504E+06   0.110498E+06   0.337706E-02
   0.627852E+00   0.197701E+06   0.196744E+06  -0.123029E-01  -0.123029E-01   0.745380E+03   0.196725E+06   0.197551E+06   0.196725E+06  -0.469412E-02   0.103877E+06   0.103872E+06   0.305911E-02
   0.652963E+00   0.185849E+06   0.184950E+06  -0.106930E-01  -0.106930E-01   0.651366E+03   0.184931E+06   0.185708E+06   0.184931E+06  -0.441270E-02   0.976498E+05   0.976444E+05   0.276101E-02
   0.814713E+00   0.130573E+06   0.129941E+06  -0.482580E-02  -0.482581E-02   0.301829E+03   0.129927E+06   0.130473E+06   0.129927E+06  -0.310024E-02   0.686061E+05   0.686023E+05   0.155454E-02
   0.101653E+01   0.912015E+05   0.907606E+05  -0.216518E-02  -0.216519E-02   0.138172E+03   0.907504E+05   0.911322E+05   0.907504E+05  -0.216543E-02   0.479195E+05   0.479169E+05   0.870439E-03
   0.126834E+01   0.633656E+05   0.630593E+05  -0.966313E-03  -0.966316E-03   0.625969E+02   0.630520E+05   0.633175E+05   0.630520E+05  -0.150451E-02   0.332938E+05   0.332920E+05   0.485184E-03
   0.158253E+01   0.438165E+05   0.436047E+05  -0.429213E-03  -0.429215E-03   0.281096E+02   0.435996E+05   0.437832E+05   0.435996E+05  -0.104034E-02   0.230222E+05   0.230209E+05   0.269437E-03
   0.197455E+01   0.301684E+05   0.300226E+05  -0.189827E-03  -0.189828E-03   0.125292E+02   0.300191E+05   0.301455E+05   0.300191E+05  -0.716295E-03   0.158512E+05   0.158503E+05   0.149211E-03
   0.246368E+01   0.206906E+05   0.205906E+05  -0.836274E-04  -0.836276E-04   0.554981E+01   0.205881E+05   0.206749E+05   0.205881E+05  -0.491260E-03   0.108713E+05   0.108707E+05   0.824974E-04
   0.307397E+01   0.141401E+05   0.140717E+05  -0.367111E-04  -0.367112E-04   0.244540E+01   0.140701E+05   0.141294E+05   0.140701E+05  -0.335731E-03   0.742954E+04   0.742912E+04   0.456078E-04
   0.383545E+01   0.963231E+04   0.958572E+04  -0.160636E-04  -0.160637E-04   0.107272E+01   0.958460E+04   0.962499E+04   0.958460E+04  -0.228701E-03   0.506104E+04   0.506075E+04   0.252643E-04
   0.478555E+01   0.654225E+04   0.651058E+04  -0.700824E-05  -0.700826E-05   0.468791E+00   0.650984E+04   0.653727E+04   0.650984E+04  -0.155333E-03   0.343745E+04   0.343724E+04   0.140640E-04
   0.597101E+01   0.443149E+04   0.441001E+04  -0.304931E-05  -0.304931E-05   0.204197E+00   0.440954E+04   0.442812E+04   0.440954E+04  -0.105217E-03   0.232841E+04   0.232826E+04   0.789953E-05
   0.745013E+01   0.299431E+04   0.297976E+04  -0.132348E-05  -0.132348E-05   0.886911E-01   0.297946E+04   0.299202E+04   0.297946E+04  -0.710940E-04   0.157327E+04   0.157317E+04   0.450141E-05
   0.929565E+01   0.201861E+04   0.200877E+04  -0.573113E-06  -0.573115E-06   0.384239E-01   0.200860E+04   0.201706E+04   0.200860E+04  -0.479278E-04   0.106062E+04   0.106054E+04   0.262041E-05
   0.115983E+02   0.135797E+04   0.135132E+04  -0.247656E-06  -0.247657E-06   0.166088E-01   0.135123E+04   0.135693E+04   0.135123E+04  -0.322422E-04   0.713504E+03   0.713449E+03   0.157100E-05
   0.144714E+02   0.911760E+03   0.907262E+03  -0.106809E-06  -0.106810E-06   0.716451E-02   0.907230E+03   0.911053E+03   0.907230E+03  -0.216477E-04   0.479054E+03   0.479012E+03   0.977925E-06
   0.180562E+02   0.611054E+03   0.608003E+03  -0.459812E-07  -0.459813E-07   0.308459E-02   0.608013E+03   0.610575E+03   0.608013E+03  -0.145080E-04   0.321056E+03   0.321021E+03   0.636127E-06
   0.225291E+02   0.408826E+03   0.406747E+03  -0.197612E-07  -0.197612E-07   0.132572E-02   0.406785E+03   0.408499E+03   0.406785E+03  -0.970642E-05   0.214800E+03   0.214770E+03   0.433627E-06
   0.281099E+02   0.273084E+03   0.271656E+03  -0.847905E-08  -0.847907E-08   0.568838E-03   0.271715E+03   0.272860E+03   0.271715E+03  -0.648348E-05   0.143478E+03   0.143452E+03   0.309229E-06
   0.350732E+02   0.182132E+03   0.181139E+03  -0.363260E-08  -0.363261E-08   0.243699E-03   0.181212E+03   0.181976E+03   0.181212E+03  -0.432396E-05   0.956887E+02   0.956646E+02   0.229395E-06
   0.437614E+02   0.121289E+03   0.120586E+03  -0.155397E-08  -0.155398E-08   0.104244E-03   0.120670E+03   0.121179E+03   0.120670E+03  -0.287935E-05   0.637204E+02   0.636974E+02   0.175640E-06
   0.546018E+02   0.806508E+02   0.801397E+02  -0.663787E-09  -0.663789E-09   0.445233E-04   0.802324E+02   0.805705E+02   0.802324E+02  -0.191445E-05   0.423677E+02   0.423452E+02   0.137668E-06
   0.681276E+02   0.535453E+02   0.531611E+02  -0.283112E-09  -0.283113E-09   0.189840E-04   0.532605E+02   0.534849E+02   0.532605E+02  -0.127087E-05   0.281256E+02   0.281032E+02   0.109655E-06
   0.850039E+02   0.354898E+02   0.351892E+02  -0.120555E-09  -0.120555E-09   0.808046E-05   0.352938E+02   0.354425E+02   0.352938E+02  -0.842157E-06   0.186386E+02   0.186161E+02   0.882246E-07
   0.106061E+03   0.234774E+02   0.232316E+02  -0.512408E-10  -0.512409E-10   0.343265E-05   0.233404E+02   0.234388E+02   0.233404E+02  -0.556933E-06   0.123268E+02   0.123041E+02   0.713526E-07
   0.132334E+03   0.154948E+02   0.152849E+02  -0.217320E-10  -0.217320E-10   0.145463E-05   0.153969E+02   0.154618E+02   0.153969E+02  -0.367391E-06   0.813233E+01   0.810941E+01   0.577738E-07
   0.165115E+03   0.101962E+02   0.100103E+02  -0.919171E-11  -0.919174E-11   0.614377E-06   0.101243E+02   0.101670E+02   0.101243E+02  -0.241580E-06   0.534823E+01   0.532514E+01   0.466580E-07
   0.206017E+03   0.668361E+01   0.651462E+01  -0.387398E-11  -0.387399E-11   0.258401E-06   0.662912E+01   0.665706E+01   0.662912E+01  -0.158180E-06   0.350264E+01   0.347952E+01   0.374358E-07
   0.257051E+03   0.435881E+01   0.420304E+01  -0.162521E-11  -0.162522E-11   0.108073E-06   0.431614E+01   0.433433E+01   0.431614E+01  -0.102989E-06   0.228127E+01   0.225838E+01   0.297060E-07
   0.320726E+03   0.282399E+01   0.268055E+01  -0.677802E-12  -0.677804E-12   0.448759E-07   0.278970E+01   0.280145E+01   0.278970E+01  -0.665659E-07   0.147519E+01   0.145289E+01   0.231900E-07
   0.400176E+03   0.181514E+01   0.168508E+01  -0.280713E-12  -0.280713E-12   0.184629E-07   0.178717E+01   0.179470E+01   0.178717E+01  -0.426443E-07   0.945697E+00   0.924447E+00   0.177128E-07
   0.499306E+03   0.115702E+01   0.104243E+01  -0.115445E-12  -0.115445E-12   0.752622E-08   0.113423E+01   0.113901E+01   0.113423E+01  -0.270643E-07   0.600754E+00   0.581012E+00   0.131888E-07
   0.622992E+03   0.732710E+00   0.635329E+00  -0.472550E-13  -0.472552E-13   0.304697E-08   0.714398E+00   0.717409E+00   0.714398E+00  -0.170465E-07   0.378864E+00   0.360956E+00   0.958802E-08
   0.777317E+03   0.462954E+00   0.382690E+00  -0.193495E-13  -0.193495E-13   0.122736E-08   0.448453E+00   0.450343E+00   0.448453E+00  -0.107007E-07   0.238227E+00   0.222244E+00   0.685856E-08
   0.969872E+03   0.293047E+00   0.227927E+00  -0.796414E-14  -0.796416E-14   0.495502E-09   0.281628E+00   0.282815E+00   0.281628E+00  -0.672002E-08   0.149942E+00   0.135836E+00   0.485138E-08
   0.121012E+04   0.185999E+00   0.133848E+00  -0.329812E-14  -0.329813E-14   0.200560E-09   0.177058E+00   0.177805E+00   0.177058E+00  -0.422485E-08   0.945372E-01   0.823020E-01   0.337257E-08
