#           k/h    P           
   0.420980E-02   0.190283E+04
   0.429484E-02   0.193105E+04
   0.438160E-02   0.195948E+04
   0.447012E-02   0.198812E+04
   0.456042E-02   0.201695E+04
   0.465255E-02   0.204598E+04
   0.474653E-02   0.207519E+04
   0.484242E-02   0.210458E+04
   0.494024E-02   0.213414E+04
   0.504004E-02   0.216385E+04
   0.514186E-02   0.219371E+04
   0.524573E-02   0.222371E+04
   0.535170E-02   0.225384E+04
   0.545981E-02   0.228408E+04
   0.557011E-02   0.231442E+04
   0.568263E-02   0.234487E+04
   0.579743E-02   0.237545E+04
   0.591455E-02   0.240606E+04
   0.603403E-02   0.243669E+04
   0.615592E-02   0.246735E+04
   0.628028E-02   0.249805E+04
   0.640715E-02   0.252875E+04
   0.653658E-02   0.255943E+04
   0.666863E-02   0.259009E+04
   0.680335E-02   0.262070E+04
   0.694078E-02   0.265125E+04
   0.708100E-02   0.268173E+04
   0.722404E-02   0.271206E+04
   0.736998E-02   0.274226E+04
   0.751886E-02   0.277235E+04
   0.767075E-02   0.280229E+04
   0.782571E-02   0.283204E+04
   0.798380E-02   0.286157E+04
   0.814509E-02   0.289088E+04
   0.830963E-02   0.291993E+04
   0.847750E-02   0.294870E+04
   0.864875E-02   0.297716E+04
   0.882347E-02   0.300531E+04
   0.900171E-02   0.303310E+04
   0.918356E-02   0.306049E+04
   0.936908E-02   0.308746E+04
   0.955835E-02   0.311399E+04
   0.975144E-02   0.314005E+04
   0.994843E-02   0.316560E+04
   0.101494E-01   0.319061E+04
   0.103544E-01   0.321505E+04
   0.105636E-01   0.323889E+04
   0.107770E-01   0.326209E+04
   0.109947E-01   0.328463E+04
   0.112168E-01   0.330646E+04
   0.114434E-01   0.332755E+04
   0.116746E-01   0.334787E+04
   0.119104E-01   0.336738E+04
   0.121510E-01   0.338604E+04
   0.123965E-01   0.340382E+04
   0.126469E-01   0.342067E+04
   0.129024E-01   0.343657E+04
   0.131631E-01   0.345146E+04
   0.134290E-01   0.346532E+04
   0.137003E-01   0.347811E+04
   0.139770E-01   0.348978E+04
   0.142594E-01   0.350030E+04
   0.145474E-01   0.350963E+04
   0.148413E-01   0.351773E+04
   0.151411E-01   0.352456E+04
   0.154470E-01   0.353009E+04
   0.157590E-01   0.353429E+04
   0.160774E-01   0.353711E+04
   0.164022E-01   0.353852E+04
   0.167335E-01   0.353849E+04
   0.170716E-01   0.353698E+04
   0.174164E-01   0.353398E+04
   0.177683E-01   0.352943E+04
   0.181272E-01   0.352333E+04
   0.184934E-01   0.351564E+04
   0.188670E-01   0.350635E+04
   0.192481E-01   0.349542E+04
   0.196370E-01   0.348286E+04
   0.200337E-01   0.346863E+04
   0.204384E-01   0.345273E+04
   0.208513E-01   0.343516E+04
   0.212725E-01   0.341591E+04
   0.217022E-01   0.339499E+04
   0.221406E-01   0.337238E+04
   0.225879E-01   0.334812E+04
   0.230442E-01   0.332221E+04
   0.235097E-01   0.329467E+04
   0.239847E-01   0.326553E+04
   0.244692E-01   0.323482E+04
   0.249635E-01   0.320258E+04
   0.254678E-01   0.316884E+04
   0.259823E-01   0.313367E+04
   0.265072E-01   0.309711E+04
   0.270426E-01   0.305922E+04
   0.275889E-01   0.302009E+04
   0.281463E-01   0.297977E+04
   0.287149E-01   0.293835E+04
   0.292949E-01   0.289593E+04
   0.298867E-01   0.285259E+04
   0.304905E-01   0.280843E+04
   0.311064E-01   0.276356E+04
   0.317348E-01   0.271809E+04
   0.323759E-01   0.267214E+04
   0.330299E-01   0.262583E+04
   0.336972E-01   0.257928E+04
   0.343779E-01   0.253260E+04
   0.350724E-01   0.248594E+04
   0.357809E-01   0.243947E+04
   0.365038E-01   0.239322E+04
   0.372412E-01   0.234715E+04
   0.379935E-01   0.230134E+04
   0.387610E-01   0.225599E+04
   0.395440E-01   0.221139E+04
   0.403429E-01   0.216771E+04
   0.411579E-01   0.212506E+04
   0.419893E-01   0.208357E+04
   0.428375E-01   0.204334E+04
   0.437029E-01   0.200446E+04
   0.445858E-01   0.196699E+04
   0.454865E-01   0.193098E+04
   0.464053E-01   0.189643E+04
   0.473428E-01   0.186335E+04
   0.482992E-01   0.183172E+04
   0.492749E-01   0.180148E+04
   0.502703E-01   0.177258E+04
   0.512858E-01   0.174493E+04
   0.523219E-01   0.171844E+04
   0.533789E-01   0.169301E+04
   0.544572E-01   0.166855E+04
   0.555573E-01   0.164499E+04
   0.566796E-01   0.162201E+04
   0.578246E-01   0.159962E+04
   0.589927E-01   0.157856E+04
   0.601845E-01   0.155853E+04
   0.614003E-01   0.153837E+04
   0.626407E-01   0.151745E+04
   0.639061E-01   0.149609E+04
   0.651971E-01   0.147450E+04
   0.665142E-01   0.145233E+04
   0.678578E-01   0.142917E+04
   0.692287E-01   0.140478E+04
   0.706272E-01   0.137903E+04
   0.720539E-01   0.135175E+04
   0.735095E-01   0.132282E+04
   0.749945E-01   0.129221E+04
   0.765095E-01   0.125998E+04
   0.780551E-01   0.122624E+04
   0.796319E-01   0.119119E+04
   0.812406E-01   0.115507E+04
   0.828817E-01   0.111818E+04
   0.845561E-01   0.108085E+04
   0.862642E-01   0.104340E+04
   0.880068E-01   0.100618E+04
   0.897847E-01   0.969511E+03
   0.915985E-01   0.933721E+03
   0.934489E-01   0.899114E+03
   0.953367E-01   0.865983E+03
   0.972626E-01   0.834605E+03
   0.992274E-01   0.805224E+03
   0.101232E+00   0.778047E+03
   0.103277E+00   0.753217E+03
   0.105363E+00   0.730806E+03
   0.107492E+00   0.710797E+03
   0.109663E+00   0.693081E+03
   0.111879E+00   0.677454E+03
   0.114139E+00   0.663626E+03
   0.116445E+00   0.651230E+03
   0.118797E+00   0.639832E+03
   0.121197E+00   0.628948E+03
   0.123645E+00   0.618058E+03
   0.126143E+00   0.606647E+03
   0.128691E+00   0.594242E+03
   0.131291E+00   0.580471E+03
   0.133943E+00   0.565110E+03
   0.136649E+00   0.548123E+03
   0.139409E+00   0.529652E+03
   0.142226E+00   0.509992E+03
   0.145099E+00   0.489532E+03
   0.148030E+00   0.468707E+03
   0.151020E+00   0.447977E+03
   0.154071E+00   0.427814E+03
   0.157184E+00   0.408699E+03
   0.160359E+00   0.391090E+03
   0.163598E+00   0.375352E+03
   0.166903E+00   0.361687E+03
   0.170275E+00   0.350067E+03
   0.173715E+00   0.340252E+03
   0.177224E+00   0.331834E+03
