#           k/h    P           
   0.420980E-02   0.131314E+05
   0.429484E-02   0.133259E+05
   0.438160E-02   0.135219E+05
   0.447012E-02   0.137194E+05
   0.456042E-02   0.139182E+05
   0.465255E-02   0.141183E+05
   0.474653E-02   0.143196E+05
   0.484242E-02   0.145222E+05
   0.494024E-02   0.147259E+05
   0.504004E-02   0.149307E+05
   0.514186E-02   0.151365E+05
   0.524573E-02   0.153433E+05
   0.535170E-02   0.155509E+05
   0.545981E-02   0.157593E+05
   0.557011E-02   0.159684E+05
   0.568263E-02   0.161783E+05
   0.579743E-02   0.163889E+05
   0.591455E-02   0.165998E+05
   0.603403E-02   0.168108E+05
   0.615592E-02   0.170221E+05
   0.628028E-02   0.172335E+05
   0.640715E-02   0.174450E+05
   0.653658E-02   0.176563E+05
   0.666863E-02   0.178675E+05
   0.680335E-02   0.180783E+05
   0.694078E-02   0.182887E+05
   0.708100E-02   0.184986E+05
   0.722404E-02   0.187075E+05
   0.736998E-02   0.189154E+05
   0.751886E-02   0.191225E+05
   0.767075E-02   0.193287E+05
   0.782571E-02   0.195334E+05
   0.798380E-02   0.197367E+05
   0.814509E-02   0.199384E+05
   0.830963E-02   0.201384E+05
   0.847750E-02   0.203363E+05
   0.864875E-02   0.205322E+05
   0.882347E-02   0.207258E+05
   0.900171E-02   0.209170E+05
   0.918356E-02   0.211054E+05
   0.936908E-02   0.212909E+05
   0.955835E-02   0.214733E+05
   0.975144E-02   0.216524E+05
   0.994843E-02   0.218281E+05
   0.101494E-01   0.220000E+05
   0.103544E-01   0.221680E+05
   0.105636E-01   0.223318E+05
   0.107770E-01   0.224912E+05
   0.109947E-01   0.226459E+05
   0.112168E-01   0.227959E+05
   0.114434E-01   0.229407E+05
   0.116746E-01   0.230801E+05
   0.119104E-01   0.232140E+05
   0.121510E-01   0.233420E+05
   0.123965E-01   0.234639E+05
   0.126469E-01   0.235794E+05
   0.129024E-01   0.236883E+05
   0.131631E-01   0.237902E+05
   0.134290E-01   0.238851E+05
   0.137003E-01   0.239725E+05
   0.139770E-01   0.240522E+05
   0.142594E-01   0.241240E+05
   0.145474E-01   0.241876E+05
   0.148413E-01   0.242426E+05
   0.151411E-01   0.242890E+05
   0.154470E-01   0.243264E+05
   0.157590E-01   0.243545E+05
   0.160774E-01   0.243732E+05
   0.164022E-01   0.243822E+05
   0.167335E-01   0.243812E+05
   0.170716E-01   0.243700E+05
   0.174164E-01   0.243485E+05
   0.177683E-01   0.243164E+05
   0.181272E-01   0.242736E+05
   0.184934E-01   0.242198E+05
   0.188670E-01   0.241550E+05
   0.192481E-01   0.240790E+05
   0.196370E-01   0.239916E+05
   0.200337E-01   0.238928E+05
   0.204384E-01   0.237825E+05
   0.208513E-01   0.236607E+05
   0.212725E-01   0.235273E+05
   0.217022E-01   0.233824E+05
   0.221406E-01   0.232260E+05
   0.225879E-01   0.230581E+05
   0.230442E-01   0.228789E+05
   0.235097E-01   0.226885E+05
   0.239847E-01   0.224870E+05
   0.244692E-01   0.222748E+05
   0.249635E-01   0.220521E+05
   0.254678E-01   0.218190E+05
   0.259823E-01   0.215761E+05
   0.265072E-01   0.213237E+05
   0.270426E-01   0.210622E+05
   0.275889E-01   0.207920E+05
   0.281463E-01   0.205138E+05
   0.287149E-01   0.202280E+05
   0.292949E-01   0.199353E+05
   0.298867E-01   0.196362E+05
   0.304905E-01   0.193316E+05
   0.311064E-01   0.190222E+05
   0.317348E-01   0.187086E+05
   0.323759E-01   0.183917E+05
   0.330299E-01   0.180724E+05
   0.336972E-01   0.177514E+05
   0.343779E-01   0.174296E+05
   0.350724E-01   0.171080E+05
   0.357809E-01   0.167877E+05
   0.365038E-01   0.164689E+05
   0.372412E-01   0.161513E+05
   0.379935E-01   0.158356E+05
   0.387610E-01   0.155231E+05
   0.395440E-01   0.152157E+05
   0.403429E-01   0.149147E+05
   0.411579E-01   0.146209E+05
   0.419893E-01   0.143350E+05
   0.428375E-01   0.140578E+05
   0.437029E-01   0.137899E+05
   0.445858E-01   0.135317E+05
   0.454865E-01   0.132836E+05
   0.464053E-01   0.130456E+05
   0.473428E-01   0.128177E+05
   0.482992E-01   0.125997E+05
   0.492749E-01   0.123914E+05
   0.502703E-01   0.121923E+05
   0.512858E-01   0.120018E+05
   0.523219E-01   0.118193E+05
   0.533789E-01   0.116441E+05
   0.544572E-01   0.114756E+05
   0.555573E-01   0.113133E+05
   0.566796E-01   0.111549E+05
   0.578246E-01   0.110007E+05
   0.589927E-01   0.108555E+05
   0.601845E-01   0.107176E+05
   0.614003E-01   0.105787E+05
   0.626407E-01   0.104346E+05
   0.639061E-01   0.102874E+05
   0.651971E-01   0.101388E+05
   0.665142E-01   0.998614E+04
   0.678578E-01   0.982664E+04
   0.692287E-01   0.965878E+04
   0.706272E-01   0.948151E+04
   0.720539E-01   0.929374E+04
   0.735095E-01   0.909463E+04
   0.749945E-01   0.888405E+04
   0.765095E-01   0.866228E+04
   0.780551E-01   0.843018E+04
   0.796319E-01   0.818904E+04
   0.812406E-01   0.794058E+04
   0.828817E-01   0.768685E+04
   0.845561E-01   0.743005E+04
   0.862642E-01   0.717251E+04
   0.880068E-01   0.691652E+04
   0.897847E-01   0.666436E+04
   0.915985E-01   0.641824E+04
   0.934489E-01   0.618025E+04
   0.953367E-01   0.595243E+04
   0.972626E-01   0.573665E+04
   0.992274E-01   0.553462E+04
   0.101232E+00   0.534774E+04
   0.103277E+00   0.517700E+04
   0.105363E+00   0.502289E+04
   0.107492E+00   0.488530E+04
   0.109663E+00   0.476348E+04
   0.111879E+00   0.465601E+04
   0.114139E+00   0.456091E+04
   0.116445E+00   0.447566E+04
   0.118797E+00   0.439727E+04
   0.121197E+00   0.432242E+04
   0.123645E+00   0.424753E+04
   0.126143E+00   0.416906E+04
   0.128691E+00   0.408376E+04
   0.131291E+00   0.398908E+04
   0.133943E+00   0.388348E+04
   0.136649E+00   0.376670E+04
   0.139409E+00   0.363973E+04
