#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714243E-02   0.639309E+07   0.638798E+07   0.273321E+05   0.273319E+05   0.382063E+07   0.638149E+07   0.639229E+07   0.638151E+07  -0.502504E+00   0.618021E+07   0.618006E+07   0.760417E+01
   0.738452E-02   0.634997E+07   0.634454E+07   0.253948E+05   0.253946E+05   0.372916E+07   0.633812E+07   0.634912E+07   0.633814E+07  -0.499088E+00   0.613831E+07   0.613814E+07   0.778862E+01
   0.763482E-02   0.630570E+07   0.629992E+07   0.235894E+05   0.235892E+05   0.363783E+07   0.629360E+07   0.630480E+07   0.629362E+07  -0.495582E+00   0.609529E+07   0.609512E+07   0.797624E+01
   0.789361E-02   0.626019E+07   0.625405E+07   0.219068E+05   0.219067E+05   0.354644E+07   0.624784E+07   0.625923E+07   0.624785E+07  -0.491978E+00   0.605107E+07   0.605089E+07   0.816695E+01
   0.816116E-02   0.621342E+07   0.620689E+07   0.203391E+05   0.203389E+05   0.345532E+07   0.620082E+07   0.621239E+07   0.620083E+07  -0.488275E+00   0.600563E+07   0.600544E+07   0.836065E+01
   0.843779E-02   0.616537E+07   0.615843E+07   0.188785E+05   0.188784E+05   0.336470E+07   0.615252E+07   0.616428E+07   0.615254E+07  -0.484472E+00   0.595896E+07   0.595875E+07   0.855723E+01
   0.872379E-02   0.611602E+07   0.610865E+07   0.175180E+05   0.175179E+05   0.327468E+07   0.610293E+07   0.611486E+07   0.610295E+07  -0.480567E+00   0.591103E+07   0.591081E+07   0.875655E+01
   0.901948E-02   0.606538E+07   0.605755E+07   0.162511E+05   0.162509E+05   0.318517E+07   0.605206E+07   0.606415E+07   0.605208E+07  -0.476561E+00   0.586186E+07   0.586162E+07   0.895843E+01
   0.932520E-02   0.601338E+07   0.600507E+07   0.150712E+05   0.150711E+05   0.309609E+07   0.599983E+07   0.601208E+07   0.599985E+07  -0.472448E+00   0.581137E+07   0.581113E+07   0.916270E+01
   0.964127E-02   0.596003E+07   0.595121E+07   0.139728E+05   0.139727E+05   0.300721E+07   0.594626E+07   0.595865E+07   0.594627E+07  -0.468229E+00   0.575958E+07   0.575932E+07   0.936913E+01
   0.996807E-02   0.590532E+07   0.589595E+07   0.129504E+05   0.129503E+05   0.291834E+07   0.589131E+07   0.590384E+07   0.589132E+07  -0.463902E+00   0.570646E+07   0.570618E+07   0.957747E+01
   0.103059E-01   0.584921E+07   0.583928E+07   0.119989E+05   0.119988E+05   0.282944E+07   0.583497E+07   0.584765E+07   0.583498E+07  -0.459465E+00   0.565199E+07   0.565170E+07   0.978744E+01
   0.106553E-01   0.579168E+07   0.578115E+07   0.111135E+05   0.111134E+05   0.274062E+07   0.577722E+07   0.579002E+07   0.577723E+07  -0.454917E+00   0.559616E+07   0.559585E+07   0.999871E+01
   0.110164E-01   0.573273E+07   0.572158E+07   0.102899E+05   0.102898E+05   0.265203E+07   0.571805E+07   0.573098E+07   0.571806E+07  -0.450258E+00   0.553895E+07   0.553863E+07   0.102109E+02
   0.113898E-01   0.567234E+07   0.566052E+07   0.952383E+04   0.952377E+04   0.256398E+07   0.565744E+07   0.567048E+07   0.565745E+07  -0.445485E+00   0.548034E+07   0.548000E+07   0.104237E+02
   0.117759E-01   0.561049E+07   0.559797E+07   0.881151E+04   0.881145E+04   0.247671E+07   0.559537E+07   0.560852E+07   0.559538E+07  -0.440598E+00   0.542032E+07   0.541996E+07   0.106364E+02
   0.121750E-01   0.554716E+07   0.553391E+07   0.814929E+04   0.814924E+04   0.239043E+07   0.553183E+07   0.554508E+07   0.553184E+07  -0.435594E+00   0.535887E+07   0.535849E+07   0.108488E+02
